x_m,delta_star_mm,theta_mm,H_i,Re_theta
0.4843405676126878,0.3735382883839576,0.1998465479353549,1.869125547791736,2748.1220463378795
0.4859933222036728,0.3783024014561599,0.2027996794080235,1.865399405760564,2806.0879665114057
0.4876460767946577,0.3862564547097841,0.2066385090443509,1.869237522551432,2872.122198993851
0.4892988313856427,0.39743263289958297,0.2113223379205301,1.8806939049152556,2946.4604892637494
0.4909515859766277,0.4118895393737179,0.2168155388163928,1.89972333912156,3029.212915224461
0.4926043405676127,0.4297030114756153,0.2230854934008612,1.9261808776758251,3120.3661190564817
0.4942570951585976,0.45095587659659964,0.2301005555779592,1.9598208942342756,3219.7830067637037
0.4959098497495826,0.4757265677129512,0.2378280867344747,2.0002959879338404,3327.199222619527
0.4975626043405676,0.5040765640793325,0.24623259455568863,2.0471561248376045,3442.2167003176733
0.4992153589315526,0.5360367422451974,0.255274010061123,2.0998484809199667,3564.2952446595405
0.5008681135225376,0.5715928904007881,0.26490614618383,2.157718492511437,3692.7434771464355
0.5025208681135225,0.6106708361504546,0.2750753891467749,2.2200126228835853,3826.7106527544315
0.5041736227045075,0.653121844913876,0.2857196779154,2.285883316399586,3965.18087626934
0.5058263772954924,0.6987091412221043,0.2967678259348687,2.354396535477027,4106.971153153961
0.5074791318864774,0.7470965630588529,0.3081392331117159,2.424542163989851,4250.734528932277
0.5091318864774624,0.7978404534564013,0.3197440250788967,2.495247419430385,4394.969321732268
0.5107846410684475,0.8503858986338279,0.3314836419957927,2.565393252933492,4538.035149619816
0.5124373956594324,0.9040683181799951,0.3432518814374719,2.633833540529868,4678.176110228563
0.5140901502504174,0.9581211894816386,0.3549363803613059,2.6994166912569613,4813.551097064768
0.5157429048414023,1.0116903477635888,0.3664205007969611,2.7610091290284577,4942.27084756658
0.5173956594323873,1.0638548615298833,0.3775855639118906,2.817519956292962,5062.440926712564
0.5190484140233723,1.1136539727640464,0.3883133585868049,2.867925988477413,5172.209472496982
0.5207011686143572,1.1601190570490587,0.3984888346879318,2.911296267453972,5269.818183194107
0.5223539232053422,1.2023090548936821,0.4080028788523325,2.9468151260982425,5353.654729325672
0.5240066777963273,1.239347409007275,0.4167550626695594,2.973802888124577,5422.3045442361135
0.5256594323873122,1.2704582656970809,0.4246562502978208,2.9917333485756545,5474.5998041260245
0.5273121869782972,1.2949996028460267,0.4316309551784787,3.000247288358979,5509.663367435827
0.5289649415692821,1.3124910547845146,0.4376193436815109,2.99916142587087,5526.945517612945
0.5306176961602671,1.3226345161024542,0.4425787969656906,2.9884723921941223,5526.251550931226
0.5322704507512521,1.325326098649909,0.44648496047972,2.9683555236125523,5507.758574374663
0.533923205342237,1.3206586435540415,0.4493322324741029,2.9391584847636256,5472.020322082768
0.535575959933222,1.3089146914464254,0.4511336675047682,2.901389955411809,5419.959347660422
0.5372287145242071,1.290550518797022,0.4519202968906202,2.85570382139614,5352.846578612288
0.538881469115192,1.2661724859216958,0.4517398940687961,2.802879494474908,5272.26889239786
0.540534223706177,1.2365074514754355,0.4506552374304682,2.743799136842866,5180.086045357173
0.5421869782971619,1.2023693441211867,0.4487419452927009,2.679422676516048,5078.378902767772
0.5438397328881469,1.1646241210508432,0.4460859761394144,2.6107615646873987,4969.391424013506
0.5454924874791319,1.1241552848248197,0.4427809013623228,2.5388522435499894,4855.469197411518
0.5471452420701168,1.0818318960155402,0.4389250669240279,2.464730263862535,4738.997450682514
0.5487979966611019,1.0384806481997009,0.4346187643560079,2.3894059193197963,4622.3413587546065
0.5504507512520868,0.9948631137846149,0.4299615301705421,2.313842155576122,4507.7911277132525
0.5521035058430718,0.951658777592217,0.4250496860695597,2.2389353733965054,4397.5137770891015
0.5537562604340568,0.9094540004612304,0.4199742202383893,2.165499586962739,4293.512825199482
0.5554090150250417,0.8687366388212948,0.4148190924387262,2.0942542295099824,4197.596281201777
0.5570617696160267,0.8298957170080405,0.4096600224824941,2.025815728805962,4111.3525572027065
0.5587145242070117,0.7932253216404482,0.4045637930681822,1.96069281342427,4036.1332355426844
0.5603672787979966,0.7589317628995278,0.3995880644761325,1.8992853650283616,3973.04115712554
0.5620200333889817,0.7271430164230884,0.394781661745536,1.8418865081220064,3922.92211681488
0.5636727879799666,0.6979195049751993,0.3901852575008026,1.788687531265232,3886.3586132041246
0.5653255425709516,0.6712653810273218,0.3858323398327462,1.7397851650235114,3863.6646129172427
0.5669782971619366,0.647139610051424,0.381750329981639,1.69519070247444,3854.8811103250314
0.5686310517529215,0.625466312325778,0.3779617045911577,1.6548404368171288,3859.7732833489067
0.5702838063439065,0.6061439845029017,0.374484986217547,1.618606904979573,3877.8310867757064
